"record_type","record_key","parent_key","legacy_id","category_legacy_id","product_legacy_id","name","title","slug","code","url","short_description","description_html","price","price_status","stock_label","image_url","sort_order","is_primary","tags_json","specs_json","types_json","published_at","author","views","origin","banner_title","banner_description_json","content_json","status"
"CATEGORY","CATEGORY:1:nhong-xich","","1","","","Nhông Xích","","nhong-xich","","","","","","","","https://res.cloudinary.com/dkxb7klnn/image/upload/v1762552192/ChatGPT_Image_04_48_51_8_thg_11_2025_1_gikqab.png","","","","","","","","","","","","","active"
"CATEGORY","CATEGORY:3:ac-quy","","3","","","Ắc Quy","","ac-quy","","","","","","","","https://res.cloudinary.com/dkxb7klnn/image/upload/v1762551241/ChatGPT_Image_04_32_57_8_thg_11_2025_1_kdovvs.png","","","","","","","","","","","","","active"
"CATEGORY","CATEGORY:4:pin-xe-dien","","4","","","Pin Xe Điện","","pin-xe-dien","","","","","","","","https://res.cloudinary.com/dkxb7klnn/image/upload/c_crop,w_1700,h_1130/v1764144056/HIGH_5_ragyyg.png","","","","","","","","","","","","","active"
"CATEGORY","CATEGORY:5:bo-thang","","5","","","Bố Thắng","","bo-thang","","","","","","","","https://res.cloudinary.com/dkxb7klnn/image/upload/c_crop,w_1700,h_1130/v1764318924/Thie%CC%82%CC%81t_ke%CC%82%CC%81_chu%CC%9Ba_co%CC%81_te%CC%82n_3_hn7chy.png","","","","","","","","","","","","","active"
"CATEGORY","CATEGORY:2:dau-nhon","","2","","","Dầu Nhờn","","dau-nhon","","","","","","","","https://res.cloudinary.com/dkxb7klnn/image/upload/v1763059048/ChatGPT_Image_01_36_26_14_thg_11_2025_n4tsho.png","","","","","","","","","","","","","active"
"CATEGORY","CATEGORY:6:vong-bi","","6","","","Vòng Bi","","vong-bi","","","","","","","","https://res.cloudinary.com/dkxb7klnn/image/upload/c_crop,w_1700,h_1130/v1764313864/Thie%CC%82%CC%81t_ke%CC%82%CC%81_chu%CC%9Ba_co%CC%81_te%CC%82n_a4juwx.png","","","","","","","","","","","","","active"
"CATEGORY","CATEGORY:7:do-dien","","7","","","Đồ Điện Xe Máy","","do-dien","","","","","","","","https://res.cloudinary.com/dkxb7klnn/image/upload/c_crop,w_1700,h_1130/v1765475672/WWW.PHUTUNGDAUNHOT.COM_15_wrnhis.png","","","","","","","","","","","","","active"
"CATEGORY","CATEGORY:8:vo-xe-may","","8","","","Vỏ xe máy","","vo-xe-may","","","","","","","","https://res.cloudinary.com/dkxb7klnn/image/upload/c_crop,w_1700,h_1130/v1764316750/Thie%CC%82%CC%81t_ke%CC%82%CC%81_chu%CC%9Ba_co%CC%81_te%CC%82n_2_u32dgt.png","","","","","","","","","","","","","active"
"CATEGORY","CATEGORY:8:loc-gio-loc-nhot","","8","","","Lọc gió - Lọc nhớt","","loc-gio-loc-nhot","","","","","","","","https://res.cloudinary.com/dkxb7klnn/image/upload/c_crop,w_1700,h_1130/v1764694688/WWW.PHUTUNGDAUNHOT.COM_11_enrmqz.png","","","","","","","","","","","","","active"
"CATEGORY","CATEGORY:10:day-xe-may","","10","","","Dây Xe Máy","","day-xe-may","","","","","","","","https://res.cloudinary.com/dkxb7klnn/image/upload/c_crop,w_1700,h_1130/v1765476772/WWW.PHUTUNGDAUNHOT.COM_16_tkfkd3.png","","","","","","","","","","","","","active"
"PRODUCT","PRODUCT:1:7:wusuki-rs","CATEGORY:1:nhong-xich","7","1","7","Sên WUSUKI RS","","wusuki-rs","WEB-1-7-WUSUKI-RS","nhong-xich/wusuki-RS","Bộ nhông sên dĩa WUSUKI RS – dòng sản phẩm bền bỉ, sên thép mạ chống gỉ, truyền động ổn định, thích hợp cho xe số và xe phổ thông.","<p><strong>Sên WUSUKI RS</strong> là dòng sản phẩm nhông sên dĩa tiêu chuẩn, được sản xuất với công nghệ tiên tiến 
          nhằm mang lại độ bền cao, truyền động ổn định và chi phí tối ưu cho người sử dụng. 
          Thiết kế hướng đến xe số và xe phổ thông, phù hợp với điều kiện vận hành tại Việt Nam.</p>
      
          <h4>Đặc tính nổi bật:</h4>
          <ul>
            <li><strong>Vật liệu thép Carbon chất lượng cao:</strong> Giúp tăng độ cứng, chống mài mòn tốt hơn.</li>
            <li><strong>Sên mạ hợp kim:</strong> Chống gỉ sét, duy trì độ bền trong môi trường ẩm ướt.</li>
            <li><strong>Răng nhông dĩa gia công chính xác:</strong> Truyền động êm, giảm hao công suất và độ ồn.</li>
            <li><strong>Độ bền cao:</strong> Có thể đạt 20.000 – 25.000 km trong điều kiện sử dụng tiêu chuẩn.</li>
            <li><strong>Giá thành hợp lý:</strong> Giải pháp kinh tế nhưng vẫn đảm bảo hiệu suất ổn định.</li>
          </ul>
      
          <h4>Phù hợp với:</h4>
          <ul>
            <li>Các dòng xe phổ thông: <strong>Wave, Dream, Sirius, Future, Blade...</strong></li>
            <li>Xe số và xe côn tay nhẹ cần độ bền và khả năng chịu tải tốt.</li>
          </ul>
      
          <p><strong>Thương hiệu:</strong> WUSUKI – Hiệu suất ổn định, giá trị bền lâu.</p>","","contact","Còn hàng cung ứng cho đại lý","https://res.cloudinary.com/dkxb7klnn/image/upload/v1780232482/wusuki3_grchv3.png","","","[""nhông xích"",""sên WUSUKI"",""xe số"",""RS"",""phổ thông""]","{""Loại sản phẩm"":""Bộ Nhông Sên Dĩa"",""Vật liệu"":""Thép Carbon – Mạ hợp kim chống gỉ"",""Độ bền trung bình"":""Khoảng 20.000 – 25.000 km"",""Màu sắc"":""Bạc / Đen"",""Ứng dụng"":""Xe số và xe phổ thông"",""Xuất xứ"":""Thương hiệu WUSUKI – Việt Nam""}","","","","","","","","","active"
"PRODUCT","PRODUCT:1:8:wusuki-ez","CATEGORY:1:nhong-xich","8","1","8","Sên WUSUKI EZ","","wusuki-ez","WEB-1-8-WUSUKI-EZ","nhong-xich/wusuki-EZ","Bộ nhông sên dĩa WUSUKI EZ – thiết kế chuẩn zin cho xe phổ thông, sên mạ hợp kim sáng đẹp, truyền động êm, bền bỉ và tiết kiệm chi phí bảo dưỡng.","<p><strong>Sên WUSUKI EZ</strong> là bộ nhông sên dĩa tiêu chuẩn được tối ưu cho các dòng xe phổ thông như Wave, Dream, Sirius... 
          Sản phẩm mang lại hiệu suất truyền động ổn định, độ bền cao và khả năng chống gỉ sét tốt, 
          giúp người dùng an tâm vận hành hàng ngày với chi phí bảo trì thấp.</p>
      
          <h4>Đặc tính nổi bật:</h4>
          <ul>
            <li><strong>Thép hợp kim cao cấp:</strong> Gia công chính xác, tăng độ cứng và giảm hao mòn.</li>
            <li><strong>Sên mạ hợp kim sáng:</strong> Chống rỉ sét, giữ vẻ ngoài sạch đẹp lâu dài.</li>
            <li><strong>Răng nhông và dĩa được tôi cứng:</strong> Giúp truyền động ổn định và êm ái.</li>
            <li><strong>Tuổi thọ cao:</strong> Sử dụng bền bỉ đến 20.000 km trong điều kiện tiêu chuẩn.</li>
            <li><strong>Giá hợp lý:</strong> Phù hợp cho người dùng phổ thông cần sự ổn định và tiết kiệm.</li>
          </ul>
      
          <h4>Phù hợp với:</h4>
          <ul>
            <li>Các dòng xe phổ thông: <strong>Wave, Dream, Blade, Sirius, Future...</strong></li>
            <li>Người dùng cần sản phẩm bền, ổn định, chi phí hợp lý.</li>
          </ul>
      
          <p><strong>Thương hiệu:</strong> WUSUKI – Bền bỉ mỗi chuyến đi, an tâm mọi hành trình.</p>","","contact","Còn hàng cung ứng cho đại lý","https://res.cloudinary.com/dkxb7klnn/image/upload/v1780232482/wusuki3_grchv3.png","","","[""nhông xích"",""sên WUSUKI"",""EZ"",""xe số"",""phổ thông""]","{""Loại sản phẩm"":""Bộ Nhông Sên Dĩa"",""Vật liệu"":""Thép Carbon – Mạ hợp kim sáng"",""Độ bền trung bình"":""Khoảng 20.000 km"",""Màu sắc"":""Bạc / Xám"",""Ứng dụng"":""Xe số và xe phổ thông"",""Xuất xứ"":""Thương hiệu WUSUKI – Việt Nam""}","","","","","","","","","active"
